SiteSurveyID,SiteZone,SiteHabitat
2025.1.ANU.1626.R,Forereef,ISOL_MR
2025.1.ANU.1634.R,Forereef,ISOL_HR
2025.1.ANU.1635.R,Lagoon,CONT_LR
2025.1.ANU.1639.R,Forereef,ISOL_MR
2025.1.ANU.1640.R,Forereef,CONT_LR
2025.1.ANU.1641.R,Forereef,CONT_LR
2025.1.ANU.1642.R,Forereef,CONT_LR
2025.1.ANU.1643.R,Forereef,CONT_LR
2025.1.ANU.1644.R,Forereef,CONT_LR
2025.1.ANU.1645.R,Forereef,CONT_LR
2025.1.ANU.1646.R,Forereef,CONT_LR
2025.1.ANU.1647.R,Forereef,CONT_LR
2025.1.ANU.1648.R,Forereef,CONT_LR
2025.1.ANU.1649.R,Forereef,SPGR_LR
2025.1.ANU.1650.R,Forereef,CONT_LR
2025.1.ANU.1651.R,Forereef,CONT_LR
2025.1.ANU.1652.R,Forereef,CONT_LR
2025.1.ANU.1653.R,Forereef,CONT_LR
2025.1.ANU.1655.R,Forereef,CONT_LR
2025.1.ANU.1656.R,Forereef,CONT_LR
2025.1.ANU.1657.R,Forereef,CONT_LR
2025.1.ANU.1658.R,Forereef,CONT_LR
2025.1.ANU.1659.R,Forereef,CONT_LR
2025.1.ANU.1660.R,Forereef,SPGR_LR
2025.1.ANU.1661.R,Forereef,CONT_LR
2025.1.ANU.1662.R,Forereef,CONT_LR
2025.1.ANU.1663.R,Forereef,CONT_LR
2025.1.ANU.2020.R,Reef Ridge Complex,RGDP_HR
2025.1.ANU.2021.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.2022.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.2023.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.2024.R,Reef Ridge Complex,RGDP_LR
2025.1.ANU.2025.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.2026.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.2027.R,Reef Ridge Complex,DPRC_LR
2025.1.ANU.2065.R,Outer Reef,LIRO_HR
2025.1.ANU.2072.R,Inshore,RGSH_LR
2025.1.ANU.2121.R,Inshore,CPSH_LR
2025.1.ANU.2150.R,Inshore,CPSH_LR
2025.1.ANU.2156.R,Inshore,CPSH_LR
2025.1.ANU.2190.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2191.R,Forereef,ISOL_MR
2025.1.ANU.2263.R,Forereef,CONT_LR
2025.1.ANU.2265.R,Forereef,CONT_LR
2025.1.ANU.2266.R,Forereef,SPGR_LR
2025.1.ANU.2271.R,Mid Channel,ISOL_MR
2025.1.ANU.2309.R,Mid Channel,ISOL_MR
2025.1.ANU.2310.R,Forereef,CONT_LR
2025.1.ANU.2313.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2314.R,Mid Channel,ISOL_MR
2025.1.ANU.2319.R,Forereef,CONT_LR
2025.1.ANU.2320.R,Forereef,SPGR_LR
2025.1.ANU.2321.R,Mid Channel,ISOL_MR
2025.1.ANU.2342.R,Mid Channel,ISOL_MR
2025.1.ANU.2344.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.2356.R,Inshore,ISOL_MR
2025.1.ANU.2358.R,Inshore,ISOL_MR
2025.1.ANU.2359.R,Forereef,SPGR_LR
2025.1.ANU.2361.R,Inshore,ISOL_MR
